ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
52,Diego Sebastian Schwartzman,Argentina,ARG,26203,721,62.01,65.84,50.5,306.5,7930,4128,178,33.37,921,1.025,0.783,1.052,32.2,40.58,325,1.171,57.77,2.21,74.17,61.98,2.801,20.66,57.14
53,Federico Delbonis,Argentina,ARG,23052,1085,60.64,69.5,51.25,319.3,7319,3615,136,29,1009,1.008,1.075,0.984,21.78,40.28,295,0.951,59.24,4.33,74.7,43.28,2.506,20.9,36.84
54,Nick Kyrgios,Australia,AUS,21724,3842,65.52,77.52,52.92,364,7021,3672,164,24.07,892,0.993,4.307,1.06,16.2,34.44,258,1.372,65.9,20.2,89.31,64,1.824,16,61.9
55,Malek Jaziri,Tunisia,TUN,17023,936,53.78,70.94,48.72,311.7,5907,2795,98,26.32,711,0.947,1.316,0.888,18.45,37.49,236,0.745,59.27,3.22,66.89,,2.15,,
56,Mikhail Kukushkin,Kazakhstan,KAZ,28075,1161,60.89,66.4,51.28,314.8,9686,4701,168,27.9,563,0.976,2.062,0.94,22.77,39.8,383,0.876,59.93,3.49,75.09,41.67,2.265,26.39,42.86
57,Dusan Lajovic,Serbia,SRB,23790,1163,66.04,68.24,52.38,327.6,7818,3843,140,28,551,0.983,2.111,0.967,20.59,38.46,314,0.931,59.5,4.39,76.82,43.82,2.322,38.2,42.11
58,Bernard Tomic,Australia,AUS,28505,2781,66.29,71.1,49.88,338.9,9602,4754,186,25.2,618,0.953,4.5,0.942,17.15,33.25,368,0.888,63.46,11.51,72.46,,1.923,,
59,Lucas Pouille,France,FRA,20741,1897,56.23,73.43,51.42,329.3,6470,3240,132,27.03,908,0.967,2.089,0.979,19.51,36.29,243,1,62.81,7.96,81.2,47.83,2.119,34.78,51.72
60,Nikoloz Basilashvili,Georgia,GEO,17839,903,60,67.36,49.31,307.5,5643,2703,105,29.24,1030,0.964,0.877,0.936,22.42,37.06,224,0.839,58.39,5.75,72.85,46.99,2.403,37.35,50
61,Aljaz Bedene,Slovenia,SLO,20889,2214,56.78,74.08,48.92,323.1,6740,3285,127,27.53,773,1.009,2.864,0.975,19.64,38.23,268,0.886,60.49,11.2,80.53,52.78,2.189,12.68,48.72
62,Vasek Pospisil,Canada,CAN,21387,2538,58.09,75.98,50.48,337.4,7299,3577,122,25.42,939,0.966,2.703,0.951,14.84,36.07,278,0.859,67.8,11.77,84.96,53.49,2.007,2.33,57.14
63,Jack Sock,United States,USA,23919,1985,58.4,73.88,52.77,333.1,7653,3877,165,27.06,1287,0.998,1.542,1.008,19.1,35.99,297,1.075,38.91,,,,,,
64,Yen Hsun Lu,"Taiwan, Province of China",TPE,27190,1555,60.61,70.34,50.28,317.7,9501,4583,162,26.48,1243,1.017,1.251,0.955,19.23,38.12,389,0.807,37.62,,,,,,
65,Marton Fucsovics,Hungary,HUN,14311,739,57.18,69.93,51.14,316.6,4856,2501,,31.79,566,1.027,1.306,1.029,25.53,42.4,,1.085,58.92,4.66,75.96,53.93,2.602,14.61,54.35
66,Kyle Edmund,United Kingdom,GBR,18624,1376,59.8,72.99,52.24,333,5876,2990,116,27.05,602,0.995,2.286,1.017,20.22,40.25,231,1.085,60.12,7.2,80.77,47.37,2.229,29.82,22.73
